ApplNo,SponsorApplicant
88961,PAR PHARM                                         
88962,SUPERPHARM                                        
88967,DURAMED PHARMS BARR                               
88968,DURAMED PHARMS BARR                               
88969,DURAMED PHARMS BARR                               
88970,DURAMED PHARMS BARR                               
88972,QUANTUM PHARMICS                                  
88973,SUPERPHARM                                        
88974,COPLEY PHARM                                      
88986,SUPERPHARM                                        
88987,SUPERPHARM                                        
88988,SUPERPHARM                                        
88989,ROXANE                                            
88990,ROXANE                                            
88991,MALLINCKRODT                                      
88994,MUTUAL PHARM                                      
88997,ALPHARMA US PHARMS                                
88999,GLENMARK GENERICS                                 
89000,GLENMARK GENERICS                                 
89001,GLENMARK GENERICS                                 
89003,APP PHARMS                                        
89006,MALLINCKRODT                                      
89007,MIKART                                            
89008,MIKART                                            
89011,ABRAXIS PHARM                                     
89013,CENCI                                             
89018,CENCI                                             
89019,TEVA                                              
89020,TEVA                                              
89021,NASKA                                             
89023,MALLINCKRODT                                      
89024,TARO                                              
89025,TEVA                                              
89026,WATSON LABS                                       
89027,WATSON LABS                                       
89028,WHITEWORTH TOWN PLSN                              
89029,BAXTER HLTHCARE                                   
89030,BAXTER HLTHCARE                                   
89031,SUPERPHARM                                        
89032,SUPERPHARM                                        
89033,SUPERPHARM                                        
89040,SUPERPHARM                                        
89041,SUPERPHARM                                        
89042,WATSON LABS                                       
89043,SMITH AND NEPHEW                                  
89047,NOVARTIS                                          
89048,ROXANE                                            
89049,ROXANE                                            
89051,USL PHARMA                                        
89052,USL PHARMA                                        
89057,HALSEY                                            
89058,PLIVA                                             
89059,PLIVA                                             
89060,PLIVA                                             
89063,LUITPOLD                                          
89064,LUITPOLD                                          
89066,PERRIGO                                           
89067,GRAHAM DM                                         
89068,ALCON PHARMS LTD                                  
89069,HOSPIRA                                           
89070,HOSPIRA                                           
89071,ACTAVIS TOTOWA                                    
89072,ACTAVIS TOTOWA                                    
89073,ACTAVIS TOTOWA                                    
89074,PERRIGO                                           
89080,PUREPAC PHARM                                     
89081,TEVA                                              
89082,PIONEER PHARMS                                    
89094,SOLOPAK                                           
89095,ODYSSEY PHARMS                                    
89096,ODYSSEY PHARMS                                    
89097,PLIVA                                             
89098,PLIVA                                             
89099,ABRAXIS PHARM                                     
89100,ABRAXIS PHARM                                     
89101,PIONEER PHARMS                                    
89102,MALLINCKRODT                                      
89103,SUPERPHARM                                        
89104,SUPERPHARM                                        
89105,SUPERPHARM                                        
89106,PHARMAFAIR                                        
89107,PHARMAFAIR                                        
89109,TEVA                                              
89110,WATSON LABS                                       
89111,WATSON LABS                                       
89113,SUPERPHARM                                        
89114,SUPERPHARM                                        
89115,US CHEM                                           
89116,COPLEY PHARM                                      
89117,HALSEY                                            
89120,QUANTUM PHARMICS                                  
89121,USL PHARMA                                        
89122,USL PHARMA                                        
89123,USL PHARMA                                        
89124,TARO                                              
89126,PAR PHARM                                         
89127,SANDOZ                                            
89129,TARO                                              
89130,HALSEY                                            
89131,SCHERING                                          
89132,3M                                                
89135,PAR PHARM                                         
89136,PAR PHARM                                         
89137,SUPERPHARM                                        
89139,PIONEER PHARMS                                    
89141,FLEMING PHARMS                                    
89143,ABRAXIS PHARM                                     
89144,ABRAXIS PHARM                                     
89145,PAR PHARM                                         
89146,PAR PHARM                                         
89152,ABRAXIS PHARM                                     
89158,PHARMACHEMIE USA                                  
89160,MALLINCKRODT                                      
89161,ABIC                                              
89162,ALCON UNIVERSAL                                   
89163,WATSON LABS                                       
89164,SUPERPHARM                                        
89166,LEITNER PHARMS                                    
89169,WATSON LABS                                       
89170,WATSON LABS                                       
89171,WATSON LABS                                       
89172,ALCON UNIVERSAL                                   
89173,HOSPIRA                                           
89174,HOSPIRA                                           
89175,MIKART                                            
89177,BARR                                              
89178,HALSEY                                            
89179,HALSEY                                            
89180,PHARMACIA AND UPJOHN                              
89183,SUPERPHARM                                        
89184,SUPERPHARM                                        
89185,SUPERPHARM                                        
89186,ABRAXIS PHARM                                     
89187,ABRAXIS PHARM                                     
89188,ABRAXIS PHARM                                     
89189,ABRAXIS PHARM                                     
89190,SUPERPHARM                                        
89191,SUPERPHARM                                        
89192,SUPERPHARM                                        
89193,MCNEIL                                            
89199,HALSEY                                            
89200,SUPERPHARM                                        
89201,SUPERPHARM                                        
89202,APP PHARMS                                        
89207,PAR PHARM                                         
89208,PAR PHARM                                         
89209,PAR PHARM                                         
89211,USL PHARMA                                        
89212,USL PHARMA                                        
89213,USL PHARMA                                        
89218,HALSEY                                            
89219,SANDOZ                                            
89220,SANDOZ                                            
89221,SANDOZ                                            
89222,HALSEY                                            
89223,ALPHARMA US PHARMS                                
89231,MIKART                                            
89233,SUPERPHARM                                        
89234,SUPERPHARM                                        
89238,MIKART                                            
89239,ASTRAZENECA                                       
89240,ASTRAZENECA                                       
89243,LANNETT                                           
89244,MIKART                                            
89245,MUTUAL PHARM                                      
89246,MUTUAL PHARM                                      
89247,MUTUAL PHARM                                      
89248,QUAD PHARMS                                       
89249,QUAD PHARMS                                       
89250,QUAD PHARMS                                       
89251,SMITH AND NEPHEW                                  
89252,DEY                                               
89253,SUPERPHARM                                        
89254,SUPERPHARM                                        
89256,QUAD PHARMS                                       
89257,QUAD PHARMS                                       
89258,MUTUAL PHARM                                      
89259,MUTUAL PHARM                                      
89263,ABRAXIS PHARM                                     
89264,QUAD PHARMS                                       
89265,QUAD PHARMS                                       
89266,QUAD PHARMS                                       
89267,QUAD PHARMS                                       
89268,DUNHALL                                           
89271,MIKART                                            
89273,TOPIDERM                                          
89274,TOPIDERM                                          
89275,TOPIDERM                                          
89276,TOPIDERM                                          
89280,QUAD PHARMS                                       
89281,QUAD PHARMS                                       
89282,QUAD PHARMS                                       
89283,QUAD PHARMS                                       
89284,SANDOZ                                            
89285,MUTUAL PHARM                                      
89286,MUTUAL PHARM                                      
89290,USL PHARMA                                        
89291,USL PHARMA                                        
89293,QUAD PHARMS                                       
89294,QUAD PHARMS                                       
89295,QUAD PHARMS                                       
89296,QUAD PHARMS                                       
89297,QUAD PHARMS                                       
89298,QUAD PHARMS                                       
89306,QUAD PHARMS                                       
89307,QUAD PHARMS                                       
89308,QUAD PHARMS                                       
89309,QUAD PHARMS                                       
89310,QUAD PHARMS                                       
89311,QUAD PHARMS                                       
89312,QUAD PHARMS                                       
89313,QUAD PHARMS                                       
89314,QUAD PHARMS                                       
89315,QUAD PHARMS                                       
89316,QUAD PHARMS                                       
89321,HALSEY                                            
89322,ABRAXIS PHARM                                     
89323,ABRAXIS PHARM                                     
89324,QUAD PHARMS                                       
89325,QUAD PHARMS                                       
89326,QUAD PHARMS                                       
89327,QUAD PHARMS                                       
89330,QUAD PHARMS                                       
89331,QUAD PHARMS                                       
89335,LUITPOLD                                          
89338,MUTUAL PHARM                                      
89339,SUPERPHARM                                        
89340,BEDFORD                                           
89341,BEDFORD                                           
89342,BEDFORD                                           
89343,BEDFORD                                           
89346,MUTUAL PHARM                                      
89347,BRACCO                                            
89351,ROXANE                                            
89352,ABIC                                              
89353,ABIC                                              
89354,ABIC                                              
89355,ABIC                                              
89356,ABIC                                              
89359,MUTUAL PHARM                                      
89360,CENT PHARMS                                       
89361,PIONEER PHARMS                                    
89362,ABBOTT                                            
89363,MIKART                                            
89364,SUPERPHARM                                        
89365,QUAD PHARMS                                       
89366,HALSEY                                            
89367,SANDOZ                                            
89368,QUAD PHARMS                                       
89369,SANDOZ                                            
89370,SANDOZ                                            
89371,SANDOZ                                            
89372,QUAD PHARMS                                       
89373,ABRAXIS PHARM                                     
89381,MUTUAL PHARM                                      
89382,MUTUAL PHARM                                      
89383,MUTUAL PHARM                                      
89384,BEDFORD                                           
89385,ORTHO MCNEIL PHARM                                
89386,ESI                                               
89387,AM THERAP                                         
89388,AM THERAP                                         
89389,AM THERAP                                         
89390,PIONEER PHARMS                                    
89393,HOSPIRA                                           
89395,BEDFORD                                           
89396,HALSEY                                            
89397,QUAD PHARMS                                       
89398,MUTUAL PHARM                                      
89399,MUTUAL PHARM                                      
89400,MUTUAL PHARM                                      
89401,MUTUAL PHARM                                      
89402,MUTUAL PHARM                                      
89403,MUTUAL PHARM                                      
89405,MALLINCKRODT                                      
89406,APP PHARMS                                        
89407,APP PHARMS                                        
89408,APP PHARMS                                        
89409,APP PHARMS                                        
89410,APP PHARMS                                        
89413,PHARMADERM                                        
89414,FOUGERA                                           
89415,ABRAXIS PHARM                                     
89416,ABRAXIS PHARM                                     
89417,AM THERAP                                         
89418,AM THERAP                                         
89420,SCHWARZ PHARMA                                    
89421,WATSON LABS                                       
89422,PAR PHARM                                         
89423,MUTUAL PHARM                                      
89424,MUTUAL PHARM                                      
89425,PUREPAC PHARM                                     
89426,PUREPAC PHARM                                     
89427,PUREPAC PHARM                                     
89428,ABRAXIS PHARM                                     
89434,SMITH AND NEPHEW                                  
89438,COPLEY PHARM                                      
89440,BOCA PHARMA                                       
89441,PLIVA                                             
89442,QUAD PHARMS                                       
89443,QUAD PHARMS                                       
89446,BARR                                              
89447,BARR                                              
89448,HALSEY                                            
89449,PENNEX                                            
89450,MIKART                                            
89451,MIKART                                            
89452,MIKART                                            
89454,APP PHARMS                                        
89455,QUAD PHARMS                                       
89456,IVAX PHARMS                                       
89457,IVAX PHARMS                                       
89458,HALSEY                                            
89459,HALSEY                                            
89463,MARSAM PHARMS LLC                                 
89464,MARSAM PHARMS LLC                                 
89465,GLAXOSMITHKLINE                                   
89472,TARO                                              
89474,BAXTER HLTHCARE                                   
89475,BAXTER HLTHCARE                                   
89476,HALSEY                                            
89477,MARSAM PHARMS LLC                                 
89478,AM THERAP                                         
89479,AM THERAP                                         
89480,AM THERAP                                         
89481,AM THERAP                                         
89482,AM THERAP                                         
89483,AM THERAP                                         
89484,DURAMED PHARMS BARR                               
89485,DURAMED PHARMS BARR                               
89486,DURAMED PHARMS BARR                               
89488,MUTUAL PHARM                                      
89489,MUTUAL PHARM                                      
89495,BETA DERMAC                                       
89496,QUAD PHARMS                                       
89497,PAR PHARM                                         
89501,MARSAM PHARMS LLC                                 
89503,QUAD PHARMS                                       
89504,QUAD PHARMS                                       
89508,BEDFORD                                           
89511,ROXANE                                            
89512,ROXANE                                            
89513,ROXANE                                            
89514,PHARM VENTURES                                    
89515,APP PHARMS                                        
89517,DENTSPLY PHARM                                    
89519,ABRAXIS PHARM                                     
89520,WATSON LABS                                       
89521,HOSPIRA                                           
89522,HOSPIRA                                           
89523,BAXTER HLTHCARE                                   
89524,G AND W LABS                                      
89525,G AND W LABS                                      
89526,G AND W LABS                                      
89528,WARNER CHILCOTT                                   
89529,WARNER CHILCOTT                                   
89530,WATSON LABS                                       
89532,ABRAXIS PHARM                                     
89533,PIONEER PHARMS                                    
89534,MUTUAL PHARM                                      
89536,WATSON LABS                                       
89537,HOSPIRA                                           
89538,LEE KM                                            
89539,SANOFI AVENTIS US                                 
89540,SANOFI AVENTIS US                                 
89554,HALSEY                                            
89556,APP PHARMS                                        
89557,MIKART                                            
89558,PIONEER PHARMS                                    
89560,ALCON UNIVERSAL                                   
89561,CLONMEL HLTHCARE                                  
89562,CLONMEL HLTHCARE                                  
89563,MARSAM PHARMS LLC                                 
89565,HOSPIRA                                           
89566,SANDOZ                                            
89567,SUN PHARM INDS (IN)                               
89568,HALSEY                                            
89572,SOLVAY                                            
89573,ABBOTT                                            
89574,ABBOTT                                            
89575,ABBOTT                                            
89576,ABBOTT                                            
89577,ABBOTT                                            
89578,ABBOTT                                            
89579,ABBOTT                                            
89580,ABBOTT                                            
89581,QUAD PHARMS                                       
89582,SUN PHARM INDS (IN)                               
89583,SANDOZ                                            
89584,SANDOZ                                            
89585,SANDOZ                                            
89586,SANDOZ                                            
89590,MUTUAL PHARM                                      
89591,PIONEER PHARMS                                    
89592,PIONEER PHARMS                                    
89594,HERITAGE PHARMS INC                               
89595,CAROLINA MEDCL                                    
89597,AMNEAL PHARMS NY                                  
89598,AMNEAL PHARMS NY                                  
89599,AMNEAL PHARMS NY                                  
89601,UCB INC                                           
89602,TEVA PHARMS                                       
89603,TEVA PHARMS                                       
89605,WATSON LABS                                       
89606,WATSON LABS                                       
89614,ASTRAZENECA                                       
89615,ASTRAZENECA                                       
89616,ASTRAZENECA                                       
89617,ASTRAZENECA                                       
89618,ASTRAZENECA                                       
89619,QUAD PHARMS                                       
89624,ORGANON USA INC                                   
89626,TARO                                              
89628,PHARMACHEMIE USA                                  
89635,HOSPIRA                                           
89636,QUAD PHARMS                                       
89637,QUAD PHARMS                                       
89638,QUAD PHARMS                                       
89644,HOSPIRA                                           
89645,HOSPIRA                                           
89646,HOSPIRA                                           
89647,PHARM ASSOC                                       
89649,HOSPIRA                                           
89650,HOSPIRA                                           
89651,HOSPIRA                                           
89654,MURO                                              
89657,PAR PHARM                                         
89660,FOREST PHARMS                                     
89661,MORTON GROVE                                      
89671,MUTUAL PHARM                                      
89672,MUTUAL PHARM                                      
89673,MUTUAL PHARM                                      
89674,PAR PHARM                                         
89675,MARSAM PHARMS LLC                                 
89681,WOCKHARDT                                         
89682,ACTAVIS MID ATLANTIC                              
89683,SANDOZ                                            
89684,SANDOZ                                            
89685,SANDOZ                                            
89686,SANDOZ                                            
89688,PACO                                              
89689,MIKART                                            
89696,IVAX PHARMS                                       
89697,MIKART                                            
89698,MIKART                                            
89699,MIKART                                            
89703,HOSPIRA                                           
89704,NASKA                                             
89705,NASKA                                             
89706,NASKA                                             
89707,IVAX PHARMS                                       
89708,IVAX PHARMS                                       
89717,BEDFORD                                           
89718,WEST WARD                                         
89725,MALLINCKRODT                                      
89726,WOCKHARDT                                         
89736,ABBOTT                                            
89738,MUTUAL PHARM                                      
89739,MUTUAL PHARM                                      
89740,LANNETT                                           
89741,LANNETT                                           
89742,LANNETT                                           
89743,LANNETT                                           
89744,HOSPIRA                                           
89752,MUTUAL PHARM                                      
89753,MUTUAL PHARM                                      
89754,ALPHARMA US PHARMS                                
89763,PLIVA                                             
89764,PAR PHARM                                         
89765,PAR PHARM                                         
89771,GRACEWAY                                          
89772,GRACEWAY                                          
89773,GRACEWAY                                          
89774,GRACEWAY                                          
89775,ROXANE                                            
89776,LANNETT                                           
89779,MARSAM PHARMS LLC                                 
89781,ASTRAZENECA                                       
89782,ASTRAZENECA                                       
89783,ASTRAZENECA                                       
89784,ASTRAZENECA                                       
89785,ASTRAZENECA                                       
89786,ASTRAZENECA                                       
89787,ASTRAZENECA                                       
89788,ASTRAZENECA                                       
89795,G AND W LABS                                      
89796,G AND W LABS                                      
89797,G AND W LABS                                      
89798,G AND W LABS                                      
89800,QUAD PHARMS                                       
89804,MYLAN                                             
89805,VINTAGE                                           
89807,PLIVA                                             
89808,PLIVA                                             
89815,QUAD PHARMS                                       
89816,QUAD PHARMS                                       
89817,DEY                                               
89818,DEY                                               
89819,DEY                                               
89820,DEY                                               
89821,QUAD PHARMS                                       
89822,SCHERING                                          
89823,SCHERING                                          
89828,VINTAGE PHARMS                                    
89831,VINTAGE PHARMS                                    
89833,GLAXOSMITHKLINE                                   
89834,GLAXOSMITHKLINE                                   
89835,SANDOZ                                            
89837,SANDOZ                                            
89839,SANDOZ                                            
89840,INWOOD LABS                                       
89849,MARSAM PHARMS LLC                                 
89852,SANDOZ                                            
89853,SANDOZ                                            
89859,WATSON LABS                                       
89883,WATSON LABS                                       
89884,HERCON LABS                                       
89885,HERCON LABS                                       
89886,HERCON LABS                                       
89887,BRISTOL MYERS SQUIBB                              
89892,ACTAVIS MID ATLANTIC                              
89893,QUAD PHARMS                                       
89894,SANDOZ                                            
89895,BARR                                              
89897,ROXANE                                            
89900,WARNER CHILCOTT                                   
89903,BAXTER HLTHCARE                                   
89907,IVAX PHARMS                                       
89910,CAROLINA MEDCL                                    
89913,ALPHARMA US PHARMS                                
89914,PARKE DAVIS                                       
89915,PHARMACHEMIE USA                                  
89932,HOSPIRA                                           
89948,PIONEER PHARMS                                    
89953,MUTUAL PHARM                                      
89959,SANDOZ                                            
89970,MUTUAL PHARM                                      
89971,VINTAGE PHARMS                                    
89976,HOSPIRA                                           
89977,HOSPIRA                                           
89983,SANDOZ                                            
89984,SANDOZ                                            
89987,MIKART                                            
89988,MIKART                                            
89990,VINTAGE                                           
89994,HALSEY                                            
89996,PERRIGO NEW YORK                                  
89997,WATSON LABS                                       
89998,WATSON LABS                                       
89999,WATSON LABS                                       
90002,IBI                                               
90005,INSTITUTO BIOCHEMICO                              
90007,MARKSANS PHARMA                                   
90010,LUITPOLD                                          
90011,PAR PHARM
90014,TORRENT PHARM                                     
90016,X-GEN PHARMS                                      
90017,SUN PHARMA GLOBAL                                 
90018,SUN PHARMA GLOBAL
90019,NOVEL LABS INC                                    
90020,BOCA PHARMA                                       
90022,SUN PHARMA GLOBAL                                 
90024,IMPAX LABS INC                                    
90025,LUPIN                                             
90027,VINTAGE                                           
90028,WOCKHARDT                                         
90029,EBEWE PHARMA                                      
90031,SANDOZ                                            
90035,INVAGEN PHARMS                                    
90037,BAUSCH AND LOMB                                   
90038,HIKMA FARMACEUTICA                                
90039,EBEWE PHARMA                                      
90040,COBREK PHARMA
90041,AMNEAL PHARMS
90043,UPSHER SMITH
90044,ORCHID HLTHCARE
90048,DR REDDYS LABS LTD                                
90049,MATRIX LABS LTD
90051,LUPIN PHARMS
90052,TEVA PHARMS                                       
90054,TOLMAR                                            
90055,STRIDES ARCOLAB LTD                               
90056,AUROBINDO                                         
90058,SUN PHARMA GLOBAL                                 
90060,HETERO DRUGS LTD
90061,HETERO DRUGS LTD                                  
90062,MYLAN                                             
90063,MYLAN PHARMA
90064,LUITPOLD                                          
90066,UNIQUE PHARM LABS                                 
90071,VALEANT INTL                                      
90072,ROXANE                                            
90073,WOCKHARDT
90074,TORRENT PHARMS                                    
90075,X GEN PHARMS                                      
90077,SUN PHARMA GLOBAL                                 
90081,WATSON LABS                                       
90082,SUN PHARMA GLOBAL                                 
90083,AUROBINDO PHARMA                                  
90084,WATSON LABS                                       
90088,FRESENIUS KABI ONCOL                              
90092,HETERO DRUGS LTD                                  
90094,AUROBINDO PHARMA                                  
90095,BARR                                              
90096,PADDOCK LLC                                       
90097,COASTAL PHARMS                                    
90098,TRIAX PHARMS LLC                                  
90099,LUITPOLD                                          
90100,ZYDUS PHARMS USA INC
90101,TEVA PARENTERAL                                   
90102,DR REDDYS LABS LTD                                
90107,SANDOZ                                            
90108,SAGENT STRIDES                                    
90109,SAGENT STRIDES                                    
90110,SAGENT STRIDES                                    
90111,ENDO PHARMS                                       
90114,SANDOZ                                            
90116,LANNETT                                           
90118,SUN PHARM INDS INC                                
90120,ROXANE
90121,ACCORD HLTHCARE INC                               
90122,ALEMBIC PHARMS LTD                                
90124,AUROBINDO PHARMA                                  
90125,NAVINTA LLC                                       
90128,ROXANE                                            
90130,ACTAVIS TOTOWA                                    
90134,ACTAVIS ELIZABETH                                 
90135,GLENMARK GENERICS                                 
90137,EBEWE PHARMA                                      
90142,SUN PHARMA GLOBAL                                 
90143,BAUSCH AND LOMB                                   
90144,SYNTHON PHARMS
90145,NOVEL LABS INC                                    
90146,NYCOMED US                                        
90149,DR REDDYS LABS INC                                
90150,APOTEX                                            
90155,CIPLA LIMITED
90158,MYLAN                                             
90159,AUROBINDO PHARMA
90162,UNICHEM                                           
90163,AKORN INC                                         
90164,SANDOZ                                            
90166,SANDOZ                                            
90170,UNICHEM LABS LTD                                  
90174,ZYDUS PHARMS USA INC                              
90175,ZYDUS PHARMS USA INC                              
90177,COASTAL PHARMS                                    
90178,SUN PHARMA GLOBAL                                 
90180,SUN PHARM INDS INC                                
90181,APP PHARMS                                        
90182,TARO                                              
90183,RANBAXY                                           
90184,PRECISION DERMAT                                  
90186,NOVEL LABS INC                                    
90187,APOTEX                                            
90188,APOTEX                                            
90190,SANDOZ                                            
90191,SUN PHARM INDS INC                                
90193,LUITPOLD                                          
90196,SYNTHON PHARMS                                    
90197,NOVEL LABS INC
90198,MACLEODS PHARMA
90199,TEVA PHARMS                                       
90200,HETERO DRUGS                                      
90205,RANBAXY                                           
90210,VINTAGE                                           
90211,SAGENT STRIDES                                    
90212,SAGENT STRIDES
90215,VERSAPHARM                                        
90216,WOCKHARDT                                         
90219,GLENMARK PHARMS                                   
90220,WOCKHARDT                                         
90221,WOCKHARDT
90222,ALEMBIC LTD                                       
90223,ALEMBIC PHARMS LTD                                
90224,ZENOTECH LABS LTD
90227,SANDOZ                                            
90228,INVAGEN PHARMS                                    
90229,SYNTHON PHARMS                                    
90231,NOVEL LABS INC                                    
90233,NEXUS PHARMS                                      
90237,SANDOZ
90239,CADISTA PHARMS                                    
90240,LUITPOLD                                          
90241,TEVA PHARMS                                       
90242,APP PHARMS                                        
90243,PFIZER                                            
90246,LUPIN LTD
90247,HIKMA PHARMS                                      
90248,BOCA PHARMA                                       
90249,IPCA LABS LTD                                     
90250,SANDOZ                                            
90253,ACCORD HLTHCARE INC                               
90254,PERRIGO R AND D                                   
90255,INVAGEN PHARMS                                    
90256,PERRIGO ISRAEL
90258,AUSTARPHARMA LLC                                  
90260,PHARM ASSOC                                       
90261,MYLAN                                             
90263,SILARX                                            
90265,SUN PHARM INDS INC                                
90266,MUSTAFA NEVSAT                                    
90268,AKORN                                             
90269,TARO                                              
90270,SYNERX                                            
90273,GLENMARK PHARMS                                   
90278,SUN PHARM INDS LTD                                
90283,RANBAXY                                           
90284,INVAGEN PHARMS                                    
90287,HIKMA FARMACEUTICA                                
90288,SANDOZ                                            
90289,TEVA PHARMS                                       
90290,SANDOZ                                            
90291,SANDOZ                                            
90292,ACTAVIS TOTOWA                                    
90294,INVAGEN PHARMS                                    
90299,BIONICHE PHARMA USA                               
90300,CYPRESS PHARM                                     
90303,BEDFORD LABS                                      
90304,BEDFORD                                           
90305,BEDFORD LABS
90309,MYLAN PHARMA
90310,BEDFORD LABS                                      
90311,BEDFORD LABS
90313,CEDAR PHARMS                                      
90314,SAGENT STRIDES                                    
90315,SAGENT STRIDES                                    
90316,SAGENT STRIDES                                    
90317,SAGENT STRIDES                                    
90318,SAGENT PHARMS
90321,ZYDUS PHARMS USA INC                              
90324,MYLAN                                             
90325,MYLAN                                             
90326,MYLAN                                             
90330,PHARMAFORCE
90331,SANDOZ                                            
90334,MATRIX LABS LTD                                   
90335,MATRIX LABS LTD                                   
90339,AUROBINDO PHARMA                                  
90340,AUROBINDO PHARMA                                  
90343,ACS DOBFAR INFO SA                                
90347,TARO                                              
90349,AUROBINDO PHARMA                                  
90351,ROXANE
90353,WOCKHARDT USA                                     
90354,ACIC FINE CHEMS                                   
90355,GLENMARK GENERICS                                 
90357,SUN PHARMA GLOBAL                                 
90358,SUN PHARM INDS INC                                
90360,BARR                                              
90364,WATSON LABS INC                                   
90365,GLENMARK GENERICS                                 
90367,WOCKHARDT                                         
90368,TARO                                              
90370,ACTAVIS PHARMA                                    
90371,CIPLA LIMITED
90372,DR REDDYS LABS LTD                                
90374,ORCHID HLTHCARE                                   
90375,HOSPIRA INC                                       
90377,IMPAX LABS                                        
90378,ACTAVIS MID ATLANTIC                              
90380,SUN PHARM INDS INC                                
90381,ROXANE                                            
90382,ACTAVIS INC                                       
90383,MICRO LABS LTD                                    
90384,APP PHARMS
90385,GLENMARK GENERICS                                 
90386,LUITPOLD                                          
90387,BEDFORD                                           
90392,DR REDDYS LABS LTD                                
90393,BIONICHE PHARMA                                   
90394,SANOCHEMIA CORP USA                               
90395,FERA PHARMS                                       
90397,BANNER PHARMACAPS                                 
90398,MATRIX LABS LTD
90401,AUROBINDO PHARMA                                  
90402,WATSON LABS                                       
90403,ZYDUS PHARMS USA INC                              
90404,ZYDUS PHARMS USA INC                              
90405,ZYDUS PHARMS USA INC
90406,MYLAN                                             
90407,MYLAN                                             
90408,MYLAN                                             
90409,MYLAN                                             
90410,MYLAN                                             
90411,ZYDUS PHARMS USA INC                              
90413,MYLAN                                             
90415,BOCA PHARMA                                       
90416,GLENMARK GENERICS                                 
90417,CYPRESS PHARM                                     
90418,CYPRESS PHARM                                     
90419,APOTEX CORP                                       
90421,SUN PHARMA GLOBAL                                 
90422,SANDOZ                                            
90424,EMCURE PHARMS                                     
90425,PLIVA HRVATSKA DOO                                
90426,ANI PHARMS                                        
90427,APOTEX INC                                        
90428,ALEMBIC PHARMS LTD                                
90429,ALEMBIC LTD                                       
90430,ALEMBIC LTD                                       
90431,MYLAN                                             
90432,AUROBINDO PHARMA LTD
90433,ALKEM LABS LTD
90434,MATRIX LABS LTD
90435,INVAGEN PHARMS                                    
90437,MATRIX LABS LTD
90440,LUPIN LTD                                         
90441,LUPIN LTD                                         
90442,LUPIN LTD                                         
90443,LUPIN LTD                                         
90444,LUPIN LTD                                         
90445,LUPIN LTD                                         
90449,APOTEX INC
90450,AKORN INC
90454,GLENMARK GENERICS                                 
